,make,model,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
0,0,Swift Dzire VDI,2014,5400.0,145500,0,0,0,0,23.4,1248.0,74.0,190Nm@ 2000rpm,5.0
1,1,Rapid 1.5 TDI Ambition,2014,4440.0,120000,0,0,0,1,21.14,1498.0,103.52,250Nm@ 1500-2500rpm,5.0
2,2,City 2017-2020 EXi,2006,1896.0,140000,1,0,0,2,17.7,1497.0,78.0,"12.7@ 2,700(kgm@ rpm)",5.0
3,3,i20 Sportz Diesel,2010,2700.0,127000,0,0,0,0,23.0,1396.0,90.0,22.4 kgm at 1750-2750rpm,5.0
4,0,Swift VXI BSIII,2007,1560.0,120000,1,0,0,0,16.1,1298.0,88.2,"11.5@ 4,500(kgm@ rpm)",5.0
5,3,Xcent 1.2 VTVT E Plus,2017,5280.0,45000,1,0,0,0,20.14,1197.0,81.86,113.75nm@ 4000rpm,5.0
6,0,Wagon R LXI DUO BSIII,2007,1152.0,175000,2,0,0,0,17.3 km/kg,1061.0,57.5,"7.8@ 4,500(kgm@ rpm)",5.0
7,0,800 DX BSII,2001,540.0,5000,1,0,0,1,16.1,796.0,37.0,59Nm@ 2500rpm,4.0
8,4,Etios VXD,2011,4200.0,90000,0,0,0,0,23.59,1364.0,67.1,170Nm@ 1800-2400rpm,5.0
9,5,Figo Diesel Celebration Edition,2013,2400.0,169000,0,0,0,0,20.0,1399.0,68.1,160Nm@ 2000rpm,5.0
10,6,Duster 110PS Diesel RxL,2014,6000.0,68000,0,0,0,1,19.01,1461.0,108.45,248Nm@ 2250rpm,5.0
11,0,Zen LX,2005,1104.0,100000,1,0,0,1,17.3,993.0,60.0,78Nm@ 4500rpm,5.0
12,0,Swift Dzire VDi,2009,3360.0,140000,0,0,0,1,19.3,1248.0,73.9,190Nm@ 2000rpm,5.0
13,0,Wagon R LXI Minor,2009,2160.0,90000,1,0,0,1,18.9,1061.0,67.0,84Nm@ 3500rpm,5.0
14,7,KUV 100 mFALCON G80 K8 5str,2016,4800.0,40000,1,0,0,0,18.15,1198.0,82.0,115Nm@ 3500-3600rpm,5.0
15,0,Ertiga SHVS VDI,2016,9336.0,70000,0,0,0,1,24.52,1248.0,88.5,200Nm@ 1750rpm,7.0
16,3,i20 1.4 CRDi Asta,2012,6000.0,53000,0,0,0,1,23.0,1396.0,90.0,22.4 kgm at 1750-2750rpm,5.0
17,0,Alto LX,2002,1800.0,80000,1,0,0,1,19.7,796.0,46.3,62Nm@ 3000rpm,5.0
18,3,i20 2015-2017 Asta 1.4 CRDi,2016,8160.0,100000,0,0,0,0,22.54,1396.0,88.73,219.7Nm@ 1500-2750rpm,5.0
19,7,Verito 1.5 D4 BSIII,2011,2088.0,100000,0,0,0,1,21.0,1461.0,64.1,160Nm@ 2000rpm,5.0
20,2,WR-V i-DTEC VX,2017,11400.0,50000,0,0,0,0,25.5,1498.0,98.6,200Nm@ 1750rpm,5.0
21,0,Swift Dzire ZDI,2015,6300.0,40000,0,0,0,0,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0
22,0,SX4 ZDI,2012,7200.0,72000,0,0,0,0,21.5,1248.0,88.8,200Nm@ 1750rpm,5.0
23,8,Tigor 2017-2020 XZ,2018,6000.0,35000,1,0,0,0,20.3,1199.0,83.81,114Nm@ 3500rpm,5.0
24,0,Baleno Delta 1.2,2016,6900.0,45000,1,0,0,0,21.4,1197.0,83.1,115Nm@ 4000rpm,5.0
25,0,Alto 800 LXI,2017,3300.0,28000,1,0,0,0,24.7,796.0,47.3,69Nm@ 3500rpm,5.0
26,9,Enjoy TCDi LTZ 7 Seater,2013,3600.0,70000,0,0,0,0,18.2,1248.0,73.8,172.5Nm@ 1750rpm,7.0
27,0,Wagon R LXI Minor,2009,2640.0,120000,1,0,0,0,18.9,1061.0,67.0,84Nm@ 3500rpm,5.0
28,0,Omni E MPI STD BS IV,2018,3059.9880000000003,25000,1,0,0,0,16.8,796.0,34.2,59Nm@ 2500rpm,8.0
29,0,Vitara Brezza LDi Option,2017,8040.0,70000,0,0,0,0,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0
30,0,Omni 8 Seater BSIV,2012,1800.0,35000,1,0,0,1,14.0,796.0,35.0,6.1kgm@ 3000rpm,5.0
31,3,i20 1.2 Asta Dual Tone,2018,8760.0,2388,1,0,0,0,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5.0
32,0,Vitara Brezza LDi,2017,7800.0,16200,0,0,0,0,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0
33,0,Alto 800 CNG LXI Optional,2019,3960.0,10000,3,0,0,1,33.44 km/kg,796.0,40.3,60Nm@ 3500rpm,4.0
34,0,Alto K10 VXI Airbag,2019,4392.0,15000,1,0,0,0,23.95,998.0,67.1,90Nm@ 3500rpm,5.0
35,3,Verna VTVT 1.6 SX Option,2019,13788.0,5000,1,0,0,0,17.0,1591.0,121.3,151Nm@ 4850rpm,5.0
36,11,GO D,2016,1800.0,42000,1,0,0,0,20.63,1198.0,67.0,104Nm@ 4000rpm,5.0
37,8,Safari DICOR 2.2 LX 4x2,2011,5100.0,60000,0,0,0,1,13.93,2179.0,138.03,320Nm@ 1700-2700rpm,7.0
38,0,800 Std,2012,1800.0,76000,1,0,0,0,16.1,796.0,37.0,59Nm@ 2500rpm,4.0
39,12,Compass 1.4 Limited Plus BSIV,2019,25200.0,5000,1,0,1,0,16.0,1368.0,160.77,250Nm@ 1750-2500rpm,5.0
40,2,City i VTEC VX,2018,11100.0,28900,1,1,0,0,17.8,1497.0,117.3,145Nm@ 4600rpm,5.0
41,2,City V MT,2013,5100.0,86300,1,1,0,0,16.8,1497.0,116.3,146Nm@ 4800rpm,5.0
42,0,Swift Dzire VXi AT,2018,8100.0,23300,1,1,1,0,18.5,1197.0,83.14,115Nm@ 4000rpm,5.0
43,0,Vitara Brezza VDi,2018,9839.988,32600,0,1,0,0,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0
44,0,Alto K10 VXI,2018,4680.0,10300,1,1,0,0,23.95,998.0,67.05,90Nm@ 3500rpm,5.0
45,4,Fortuner 4x4 MT,2014,18000.0,77000,0,1,0,0,12.55,2982.0,168.5,343Nm@ 1400-3400rpm,7.0
46,4,Innova 2.5 G (Diesel) 7 Seater BS IV,2013,8400.0,99000,0,1,0,0,12.99,2494.0,100.0,200Nm@ 1400-3400rpm,7.0
47,13,B Class B180,2014,17400.0,27800,0,1,1,1,14.8,2143.0,120.7,200Nm@ 1250-4000rpm,5.0
48,2,Amaze S Diesel,2015,5100.0,49800,0,1,0,0,24.7,1498.0,98.63,200Nm@ 1750rpm,5.0
49,14,Pajero Sport 4X4,2013,13080.0,151000,0,1,0,0,13.5,2477.0,175.56,400Nm@ 2000-2500rpm,7.0
50,2,City i DTEC S,2015,7200.0,54700,0,1,0,0,26.0,1498.0,98.6,200Nm@ 1750rpm,5.0
51,0,Ciaz Zeta,2018,10200.0,64000,1,1,0,0,20.65,1462.0,103.25,138Nm@ 4400rpm,5.0
52,2,Jazz VX Diesel,2015,6300.0,63000,0,1,0,0,27.3,1498.0,98.6,200Nm@ 1750rpm,5.0
53,4,Innova Crysta 2.8 ZX AT BSIV,2016,19800.0,127700,0,1,1,1,11.36,2755.0,171.5,360Nm@ 1200-3400rpm,7.0
54,4,Innova 2.5 G (Diesel) 7 Seater,2016,11400.0,99000,0,1,0,0,12.99,2494.0,100.6,200Nm@ 1200-3600rpm,7.0
55,15,A6 2.0 TDI Technology,2013,21000.0,33900,0,1,1,1,17.68,1968.0,174.33,380Nm@ 1750-2500rpm,5.0
