Processor,Transistor count,Year
"MP944 (20-bit, 6-chip, 28 chips total)","5,360",1970
"Intel 4004 (4-bit, 16-pin)","2,250",1971
"TMX 1795 (?-bit, 24-pin)","3,078",1971
"Intel 8008 (8-bit, 18-pin)","3,500",1972
"NEC μCOM-4 (4-bit, 42-pin)","2,500",1973
Toshiba TLCS-12 (12-bit),"11,000",1973
"Intel 4040 (4-bit, 16-pin)","3,000",1974
"Motorola 6800 (8-bit, 40-pin)","4,100",1974
"Intel 8080 (8-bit, 40-pin)","6,000",1974
"TMS 1000 (4-bit, 28-pin)","8,000",1974
"MOS Technology 6502 (8-bit, 40-pin)","4,528",1975
"Intersil IM6100 (12-bit, 40-pin; clone of PDP-8)","4,000",1975
"CDP 1801 (8-bit, 2-chip, 40-pin)","5,000",1975
"RCA 1802 (8-bit, 40-pin)","5,000",1976
"Zilog Z80 (8-bit, 4-bit ALU, 40-pin)","8,500",1976
"Intel 8085 (8-bit, 40-pin)","6,500",1976
TMS9900 (16-bit),"8,000",1976
Bellmac-8 (8-bit),"7,000",1977
"Motorola 6809 (8-bit with some 16-bit features, 40-pin)","9,000",1978
"Intel 8086 (16-bit, 40-pin)","29,000",1978
Zilog Z8000 (16-bit),"17,500",1979
"Intel 8088 (16-bit, 8-bit data bus)","29,000",1979
"Motorola 68000 (16/32-bit, 32-bit registers, 16-bit  ALU)","68,000",1979
"Intel 8051 (8-bit, 40-pin)","50,000",1980
WDC 65C02,"11,500",1981
ROMP (32-bit),"45,000",1981
"Intel 80186 (16-bit, 68-pin)","55,000",1982
"Intel 80286 (16-bit, 68-pin)","134,000",1982
WDC 65C816 (8/16-bit),"22,000",1983
NEC V20,"63,000",1984
Motorola 68020 (32-bit; 114 pins used),"190,000",1984
"Intel 80386 (32-bit, 132-pin; no cache)","275,000",1985
ARM 1 (32-bit; no cache),"25,000",1985
Novix NC4016 (16-bit),"16,000",1985
SPARC MB86900 (32-bit; no cache),"110,000",1986
NEC V60 (32-bit; no cache),"375,000",1986
"ARM 2 (32-bit, 84-pin; no cache)","27,000",1986
Z80000 (32-bit; very small cache),"91,000",1986
NEC V70 (32-bit; no cache),"385,000",1987
Hitachi Gmicro/200,"730,000",1987
"Motorola 68030 (32-bit, very small caches)","273,000",1987
TI Explorer's 32-bit Lisp machine chip,"553,000",1987
