GPU Name,Transistor Count,Release Date
NVIDIA GeForce2 GTS,25 million,"Apr 26th, 2000"
NVIDIA GeForce2 GTS PRO,25 million,"Apr 26th, 2000"
NVIDIA GeForce2 Go,20 million,"Nov 11th, 2000"
NVIDIA GeForce2 Go,20 million,"Nov 11th, 2000"
NVIDIA GeForce2 MX,20 million,"Jun 28th, 2000"
NVIDIA GeForce2 MX DH Pro TV,20 million,"Jun 28th, 2000"
NVIDIA GeForce2 MX DH Pro TV PCI,20 million,"Jun 28th, 2000"
NVIDIA GeForce2 MX PCI,20 million,"Jun 28th, 2000"
NVIDIA GeForce2 PRO,25 million,"Dec 5th, 2000"
NVIDIA GeForce2 Ultra,25 million,"Aug 14th, 2000"
NVIDIA Quadro2 MXR,20 million,"Jul 25th, 2000"
NVIDIA Quadro2 MXR Low Profile,20 million,"Jul 25th, 2000"
NVIDIA Vanta LT,15 million,"Mar 1st, 2000"
NVIDIA GeForce2 MX + nForce 220,20 million,"Jun 4th, 2001"
NVIDIA GeForce2 MX + nForce 420,20 million,"Jun 4th, 2001"
NVIDIA GeForce2 GTS,25 million,"Apr 26th, 2000"
NVIDIA GeForce2 GTS PRO,25 million,"Apr 26th, 2000"
NVIDIA GeForce2 Go,20 million,"Nov 11th, 2000"
NVIDIA GeForce2 Go,20 million,"Nov 11th, 2000"
NVIDIA GeForce2 MX,20 million,"Jun 28th, 2000"
