GPU Name,Transistor Count,Release Date
NVIDIA GeForce RTX 5060 Ti,"21,900 million","Apr 16th, 2025"
AMD Radeon RX 9070 XT,"53,900 million","Mar 6th, 2025"
NVIDIA GeForce RTX 5070 Ti,"45,600 million","Feb 20th, 2025"
NVIDIA GeForce RTX 5070,"31,100 million","Mar 4th, 2025"
NVIDIA GeForce RTX 5090,"92,200 million","Jan 30th, 2025"
NVIDIA GeForce RTX 5080,"45,600 million","Jan 30th, 2025"
NVIDIA GeForce RTX 4060,"18,900 million","May 18th, 2023"
NVIDIA GeForce RTX 3060 12 GB,"12,000 million","Jan 12th, 2021"
NVIDIA GeForce RTX 4090,"76,300 million","Sep 20th, 2022"
AMD Radeon RX 9070,"53,900 million","Mar 6th, 2025"
